#    L    TT             EE             TE             PP             TP          
   240   0.546330E+04   0.162573E+01   0.467054E+02   0.192408E+07   0.175762E+04
   241   0.545115E+04   0.168516E+01   0.483475E+02   0.191506E+07   0.174287E+04
   242   0.543844E+04   0.174663E+01   0.499863E+02   0.190611E+07   0.172823E+04
   243   0.542517E+04   0.181016E+01   0.516212E+02   0.189723E+07   0.171370E+04
   244   0.541135E+04   0.187576E+01   0.532516E+02   0.188842E+07   0.169930E+04
   245   0.539697E+04   0.194345E+01   0.548766E+02   0.187966E+07   0.168500E+04
   246   0.538206E+04   0.201324E+01   0.564956E+02   0.187098E+07   0.167082E+04
   247   0.536660E+04   0.208515E+01   0.581080E+02   0.186235E+07   0.165676E+04
   248   0.535062E+04   0.215919E+01   0.597129E+02   0.185379E+07   0.164280E+04
   249   0.533411E+04   0.223537E+01   0.613097E+02   0.184528E+07   0.162896E+04
   250   0.531709E+04   0.231370E+01   0.628976E+02   0.183684E+07   0.161523E+04
   251   0.529954E+04   0.239418E+01   0.644759E+02   0.182846E+07   0.160160E+04
   252   0.528147E+04   0.247683E+01   0.660437E+02   0.182013E+07   0.158808E+04
   253   0.526289E+04   0.256164E+01   0.676005E+02   0.181187E+07   0.157467E+04
   254   0.524381E+04   0.264864E+01   0.691452E+02   0.180366E+07   0.156137E+04
   255   0.522421E+04   0.273781E+01   0.706772E+02   0.179551E+07   0.154817E+04
   256   0.520411E+04   0.282917E+01   0.721958E+02   0.178742E+07   0.153508E+04
   257   0.518351E+04   0.292273E+01   0.737004E+02   0.177938E+07   0.152209E+04
   258   0.516243E+04   0.301847E+01   0.751899E+02   0.177140E+07   0.150920E+04
   259   0.514088E+04   0.311641E+01   0.766649E+02   0.176348E+07   0.149641E+04
   260   0.511888E+04   0.321654E+01   0.781231E+02   0.175561E+07   0.148372E+04
   261   0.509642E+04   0.331887E+01   0.795653E+02   0.174780E+07   0.147113E+04
   262   0.507354E+04   0.342339E+01   0.809900E+02   0.174004E+07   0.145864E+04
   263   0.505023E+04   0.353011E+01   0.823973E+02   0.173233E+07   0.144625E+04
   264   0.502651E+04   0.363902E+01   0.837857E+02   0.172468E+07   0.143396E+04
   265   0.500237E+04   0.375009E+01   0.851560E+02   0.171708E+07   0.142176E+04
   266   0.497783E+04   0.386334E+01   0.865060E+02   0.170953E+07   0.140965E+04
   267   0.495289E+04   0.397873E+01   0.878349E+02   0.170204E+07   0.139764E+04
   268   0.492755E+04   0.409628E+01   0.891435E+02   0.169459E+07   0.138572E+04
   269   0.490182E+04   0.421596E+01   0.904297E+02   0.168720E+07   0.137390E+04
   270   0.487570E+04   0.433775E+01   0.916941E+02   0.167986E+07   0.136216E+04
   271   0.484922E+04   0.446166E+01   0.929346E+02   0.167257E+07   0.135051E+04
   272   0.482236E+04   0.458766E+01   0.941520E+02   0.166532E+07   0.133896E+04
   273   0.479516E+04   0.471572E+01   0.953447E+02   0.165813E+07   0.132749E+04
   274   0.476761E+04   0.484584E+01   0.965137E+02   0.165099E+07   0.131610E+04
   275   0.473972E+04   0.497799E+01   0.976565E+02   0.164389E+07   0.130481E+04
   276   0.471151E+04   0.511216E+01   0.987742E+02   0.163684E+07   0.129360E+04
   277   0.468299E+04   0.524832E+01   0.998650E+02   0.162984E+07   0.128247E+04
   278   0.465416E+04   0.538645E+01   0.100928E+03   0.162289E+07   0.127142E+04
   279   0.462504E+04   0.552651E+01   0.101965E+03   0.161598E+07   0.126046E+04
   280   0.459564E+04   0.566849E+01   0.102974E+03   0.160912E+07   0.124958E+04
