#    L    TT             EE             TE             PP             TP          
   144   0.408652E+04   0.104643E+01  -0.436435E+02   0.324153E+07   0.404564E+04
   145   0.411940E+04   0.104408E+01  -0.437950E+02   0.322158E+07   0.400734E+04
   146   0.415214E+04   0.104128E+01  -0.439251E+02   0.320179E+07   0.396953E+04
   147   0.418473E+04   0.103805E+01  -0.440335E+02   0.318217E+07   0.393217E+04
   148   0.421716E+04   0.103437E+01  -0.441197E+02   0.316271E+07   0.389524E+04
   149   0.424941E+04   0.103027E+01  -0.441834E+02   0.314342E+07   0.385871E+04
   150   0.428147E+04   0.102575E+01  -0.442241E+02   0.312428E+07   0.382255E+04
   151   0.431333E+04   0.102082E+01  -0.442416E+02   0.310531E+07   0.378674E+04
   152   0.434497E+04   0.101548E+01  -0.442355E+02   0.308650E+07   0.375128E+04
   153   0.437641E+04   0.100974E+01  -0.442057E+02   0.306784E+07   0.371616E+04
   154   0.440762E+04   0.100364E+01  -0.441519E+02   0.304934E+07   0.368139E+04
   155   0.443860E+04   0.997151E+00  -0.440738E+02   0.303100E+07   0.364697E+04
   156   0.446937E+04   0.990310E+00  -0.439713E+02   0.301282E+07   0.361291E+04
   157   0.449990E+04   0.983113E+00  -0.438441E+02   0.299479E+07   0.357919E+04
   158   0.453019E+04   0.975589E+00  -0.436919E+02   0.297691E+07   0.354583E+04
   159   0.456024E+04   0.967738E+00  -0.435146E+02   0.295918E+07   0.351282E+04
   160   0.459002E+04   0.959582E+00  -0.433119E+02   0.294160E+07   0.348017E+04
   161   0.461953E+04   0.951135E+00  -0.430838E+02   0.292418E+07   0.344787E+04
   162   0.464876E+04   0.942411E+00  -0.428299E+02   0.290690E+07   0.341594E+04
   163   0.467769E+04   0.933440E+00  -0.425501E+02   0.288977E+07   0.338436E+04
   164   0.470630E+04   0.924221E+00  -0.422443E+02   0.287278E+07   0.335315E+04
   165   0.473459E+04   0.914776E+00  -0.419123E+02   0.285594E+07   0.332229E+04
   166   0.476256E+04   0.905127E+00  -0.415539E+02   0.283925E+07   0.329180E+04
   167   0.479019E+04   0.895296E+00  -0.411690E+02   0.282270E+07   0.326168E+04
   168   0.481746E+04   0.885304E+00  -0.407578E+02   0.280629E+07   0.323192E+04
   169   0.484439E+04   0.875173E+00  -0.403200E+02   0.279002E+07   0.320253E+04
   170   0.487095E+04   0.864918E+00  -0.398556E+02   0.277389E+07   0.317351E+04
   171   0.489714E+04   0.854568E+00  -0.393646E+02   0.275791E+07   0.314486E+04
   172   0.492296E+04   0.844145E+00  -0.388470E+02   0.274205E+07   0.311657E+04
   173   0.494839E+04   0.833671E+00  -0.383026E+02   0.272634E+07   0.308867E+04
   174   0.497341E+04   0.823167E+00  -0.377316E+02   0.271076E+07   0.306113E+04
   175   0.499804E+04   0.812669E+00  -0.371340E+02   0.269532E+07   0.303397E+04
   176   0.502225E+04   0.802194E+00  -0.365099E+02   0.268001E+07   0.300718E+04
   177   0.504605E+04   0.791776E+00  -0.358591E+02   0.266483E+07   0.298077E+04
   178   0.506940E+04   0.781436E+00  -0.351819E+02   0.264978E+07   0.295471E+04
   179   0.509233E+04   0.771195E+00  -0.344781E+02   0.263487E+07   0.292900E+04
   180   0.511481E+04   0.761090E+00  -0.337480E+02   0.262008E+07   0.290363E+04
   181   0.513683E+04   0.751149E+00  -0.329916E+02   0.260541E+07   0.287859E+04
   182   0.515841E+04   0.741400E+00  -0.322091E+02   0.259088E+07   0.285388E+04
   183   0.517952E+04   0.731864E+00  -0.314007E+02   0.257647E+07   0.282948E+04
   184   0.520015E+04   0.722578E+00  -0.305664E+02   0.256218E+07   0.280539E+04
   185   0.522031E+04   0.713576E+00  -0.297064E+02   0.254801E+07   0.278159E+04
   186   0.523998E+04   0.704881E+00  -0.288208E+02   0.253397E+07   0.275809E+04
   187   0.525917E+04   0.696521E+00  -0.279099E+02   0.252004E+07   0.273486E+04
   188   0.527785E+04   0.688535E+00  -0.269739E+02   0.250624E+07   0.271190E+04
   189   0.529603E+04   0.680953E+00  -0.260130E+02   0.249255E+07   0.268921E+04
   190   0.531370E+04   0.673808E+00  -0.250274E+02   0.247897E+07   0.266677E+04
   191   0.533086E+04   0.667131E+00  -0.240175E+02   0.246551E+07   0.264457E+04
   192   0.534749E+04   0.660955E+00  -0.229833E+02   0.245216E+07   0.262261E+04
   193   0.536358E+04   0.655313E+00  -0.219252E+02   0.243893E+07   0.260088E+04
   194   0.537914E+04   0.650238E+00  -0.208436E+02   0.242580E+07   0.257936E+04
   195   0.539416E+04   0.645766E+00  -0.197386E+02   0.241279E+07   0.255806E+04
   196   0.540864E+04   0.641931E+00  -0.186108E+02   0.239988E+07   0.253695E+04
   197   0.542258E+04   0.638769E+00  -0.174605E+02   0.238708E+07   0.251604E+04
   198   0.543598E+04   0.636313E+00  -0.162880E+02   0.237438E+07   0.249531E+04
   199   0.544882E+04   0.634599E+00  -0.150936E+02   0.236179E+07   0.247476E+04
   200   0.546112E+04   0.633661E+00  -0.138779E+02   0.234930E+07   0.245437E+04
   201   0.547285E+04   0.633535E+00  -0.126410E+02   0.233692E+07   0.243414E+04
   202   0.548402E+04   0.634256E+00  -0.113836E+02   0.232463E+07   0.241406E+04
   203   0.549460E+04   0.635859E+00  -0.101058E+02   0.231244E+07   0.239414E+04
   204   0.550459E+04   0.638379E+00  -0.880820E+01   0.230036E+07   0.237437E+04
   205   0.551397E+04   0.641853E+00  -0.749113E+01   0.228837E+07   0.235476E+04
   206   0.552275E+04   0.646313E+00  -0.615497E+01   0.227647E+07   0.233530E+04
   207   0.553091E+04   0.651796E+00  -0.480007E+01   0.226468E+07   0.231599E+04
   208   0.553845E+04   0.658338E+00  -0.342702E+01   0.225298E+07   0.229683E+04
   209   0.554538E+04   0.665973E+00  -0.203632E+01   0.224138E+07   0.227781E+04
   210   0.555171E+04   0.674736E+00  -0.628514E+00   0.222986E+07   0.225895E+04
   211   0.555743E+04   0.684664E+00   0.795883E+00   0.221845E+07   0.224023E+04
   212   0.556256E+04   0.695790E+00   0.223633E+01   0.220712E+07   0.222166E+04
   213   0.556710E+04   0.708151E+00   0.369229E+01   0.219589E+07   0.220324E+04
   214   0.557105E+04   0.721781E+00   0.516324E+01   0.218475E+07   0.218496E+04
   215   0.557443E+04   0.736710E+00   0.664861E+01   0.217369E+07   0.216682E+04
   216   0.557721E+04   0.752980E+00   0.814783E+01   0.216273E+07   0.214883E+04
   217   0.557939E+04   0.770621E+00   0.966031E+01   0.215185E+07   0.213097E+04
   218   0.558098E+04   0.789661E+00   0.111856E+02   0.214106E+07   0.211326E+04
   219   0.558196E+04   0.810142E+00   0.127229E+02   0.213036E+07   0.209569E+04
   220   0.558233E+04   0.832093E+00   0.142719E+02   0.211974E+07   0.207825E+04
   221   0.558209E+04   0.855542E+00   0.158318E+02   0.210921E+07   0.206096E+04
   222   0.558123E+04   0.880532E+00   0.174022E+02   0.209876E+07   0.204380E+04
   223   0.557977E+04   0.907085E+00   0.189822E+02   0.208840E+07   0.202677E+04
   224   0.557770E+04   0.935234E+00   0.205714E+02   0.207811E+07   0.200988E+04
   225   0.557502E+04   0.965003E+00   0.221691E+02   0.206791E+07   0.199312E+04
   226   0.557173E+04   0.996432E+00   0.237746E+02   0.205779E+07   0.197650E+04
   227   0.556784E+04   0.102955E+01   0.253873E+02   0.204775E+07   0.196001E+04
   228   0.556334E+04   0.106438E+01   0.270065E+02   0.203778E+07   0.194365E+04
   229   0.555825E+04   0.110096E+01   0.286317E+02   0.202790E+07   0.192742E+04
   230   0.555255E+04   0.113931E+01   0.302620E+02   0.201809E+07   0.191132E+04
   231   0.554625E+04   0.117945E+01   0.318969E+02   0.200836E+07   0.189534E+04
   232   0.553936E+04   0.122141E+01   0.335357E+02   0.199870E+07   0.187949E+04
   233   0.553188E+04   0.126522E+01   0.351776E+02   0.198912E+07   0.186377E+04
