#    L    TT             EE             BB             TE             PP             TP             EP          
   130   0.361760E+04   0.103079E+01   0.000000E+00  -0.394990E+02   0.769952E-07   0.274534E-03  -0.809146E-06
   131   0.365139E+04   0.103492E+01   0.000000E+00  -0.399076E+02   0.764988E-07   0.271681E-03  -0.821787E-06
   132   0.368517E+04   0.103859E+01   0.000000E+00  -0.403007E+02   0.760067E-07   0.268879E-03  -0.831679E-06
   133   0.371893E+04   0.104180E+01   0.000000E+00  -0.406778E+02   0.755187E-07   0.266127E-03  -0.839008E-06
   134   0.375265E+04   0.104456E+01   0.000000E+00  -0.410384E+02   0.750349E-07   0.263425E-03  -0.843961E-06
   135   0.378634E+04   0.104685E+01   0.000000E+00  -0.413822E+02   0.745553E-07   0.260769E-03  -0.846723E-06
   136   0.381998E+04   0.104867E+01   0.000000E+00  -0.417085E+02   0.740797E-07   0.258158E-03  -0.847483E-06
   137   0.385356E+04   0.105002E+01   0.000000E+00  -0.420170E+02   0.736082E-07   0.255591E-03  -0.846424E-06
   138   0.388709E+04   0.105090E+01   0.000000E+00  -0.423072E+02   0.731407E-07   0.253067E-03  -0.843735E-06
   139   0.392054E+04   0.105132E+01   0.000000E+00  -0.425788E+02   0.726773E-07   0.250582E-03  -0.839600E-06
   140   0.395392E+04   0.105126E+01   0.000000E+00  -0.428314E+02   0.722178E-07   0.248137E-03  -0.834205E-06
   141   0.398722E+04   0.105075E+01   0.000000E+00  -0.430646E+02   0.717622E-07   0.245728E-03  -0.827738E-06
   142   0.402042E+04   0.104977E+01   0.000000E+00  -0.432779E+02   0.713105E-07   0.243355E-03  -0.820382E-06
   143   0.405353E+04   0.104833E+01   0.000000E+00  -0.434710E+02   0.708628E-07   0.241016E-03  -0.812325E-06
   144   0.408652E+04   0.104643E+01   0.000000E+00  -0.436435E+02   0.704188E-07   0.238709E-03  -0.803752E-06
   145   0.411940E+04   0.104408E+01   0.000000E+00  -0.437950E+02   0.699787E-07   0.236433E-03  -0.794848E-06
   146   0.415214E+04   0.104128E+01   0.000000E+00  -0.439251E+02   0.695424E-07   0.234185E-03  -0.785800E-06
   147   0.418473E+04   0.103805E+01   0.000000E+00  -0.440335E+02   0.691098E-07   0.231965E-03  -0.776793E-06
   148   0.421716E+04   0.103437E+01   0.000000E+00  -0.441197E+02   0.686810E-07   0.229771E-03  -0.768011E-06
   149   0.424941E+04   0.103027E+01   0.000000E+00  -0.441834E+02   0.682558E-07   0.227601E-03  -0.759642E-06
   150   0.428147E+04   0.102575E+01   0.000000E+00  -0.442241E+02   0.678343E-07   0.225453E-03  -0.751870E-06
   151   0.431333E+04   0.102082E+01   0.000000E+00  -0.442416E+02   0.674165E-07   0.223326E-03  -0.744839E-06
   152   0.434497E+04   0.101548E+01   0.000000E+00  -0.442355E+02   0.670022E-07   0.221220E-03  -0.738529E-06
   153   0.437641E+04   0.100974E+01   0.000000E+00  -0.442057E+02   0.665916E-07   0.219135E-03  -0.732877E-06
   154   0.440762E+04   0.100364E+01   0.000000E+00  -0.441519E+02   0.661845E-07   0.217071E-03  -0.727822E-06
   155   0.443860E+04   0.997151E+00   0.000000E+00  -0.440738E+02   0.657809E-07   0.215029E-03  -0.723302E-06
   156   0.446937E+04   0.990310E+00   0.000000E+00  -0.439713E+02   0.653809E-07   0.213007E-03  -0.719255E-06
   157   0.449990E+04   0.983113E+00   0.000000E+00  -0.438441E+02   0.649843E-07   0.211006E-03  -0.715618E-06
   158   0.453019E+04   0.975589E+00   0.000000E+00  -0.436919E+02   0.645911E-07   0.209027E-03  -0.712331E-06
   159   0.456024E+04   0.967738E+00   0.000000E+00  -0.435146E+02   0.642014E-07   0.207069E-03  -0.709330E-06
   160   0.459002E+04   0.959582E+00   0.000000E+00  -0.433119E+02   0.638151E-07   0.205132E-03  -0.706555E-06
   161   0.461953E+04   0.951135E+00   0.000000E+00  -0.430838E+02   0.634322E-07   0.203217E-03  -0.703943E-06
   162   0.464876E+04   0.942411E+00   0.000000E+00  -0.428299E+02   0.630526E-07   0.201323E-03  -0.701433E-06
   163   0.467769E+04   0.933440E+00   0.000000E+00  -0.425501E+02   0.626763E-07   0.199451E-03  -0.698963E-06
   164   0.470630E+04   0.924221E+00   0.000000E+00  -0.422443E+02   0.623033E-07   0.197600E-03  -0.696470E-06
   165   0.473459E+04   0.914776E+00   0.000000E+00  -0.419123E+02   0.619335E-07   0.195771E-03  -0.693894E-06
   166   0.476256E+04   0.905127E+00   0.000000E+00  -0.415539E+02   0.615670E-07   0.193964E-03  -0.691172E-06
   167   0.479019E+04   0.895296E+00   0.000000E+00  -0.411690E+02   0.612037E-07   0.192178E-03  -0.688243E-06
   168   0.481746E+04   0.885304E+00   0.000000E+00  -0.407578E+02   0.608436E-07   0.190415E-03  -0.685045E-06
   169   0.484439E+04   0.875173E+00   0.000000E+00  -0.403200E+02   0.604867E-07   0.188673E-03  -0.681516E-06
   170   0.487095E+04   0.864918E+00   0.000000E+00  -0.398556E+02   0.601329E-07   0.186954E-03  -0.677594E-06
   171   0.489714E+04   0.854568E+00   0.000000E+00  -0.393646E+02   0.597822E-07   0.185256E-03  -0.673218E-06
   172   0.492296E+04   0.844145E+00   0.000000E+00  -0.388470E+02   0.594346E-07   0.183581E-03  -0.668327E-06
   173   0.494839E+04   0.833671E+00   0.000000E+00  -0.383026E+02   0.590900E-07   0.181928E-03  -0.662858E-06
   174   0.497341E+04   0.823167E+00   0.000000E+00  -0.377316E+02   0.587485E-07   0.180297E-03  -0.656749E-06
   175   0.499804E+04   0.812669E+00   0.000000E+00  -0.371340E+02   0.584100E-07   0.178689E-03  -0.649940E-06
   176   0.502225E+04   0.802194E+00   0.000000E+00  -0.365099E+02   0.580744E-07   0.177103E-03  -0.642384E-06
   177   0.504605E+04   0.791776E+00   0.000000E+00  -0.358591E+02   0.577418E-07   0.175538E-03  -0.634099E-06
   178   0.506940E+04   0.781436E+00   0.000000E+00  -0.351819E+02   0.574122E-07   0.173995E-03  -0.625120E-06
   179   0.509233E+04   0.771195E+00   0.000000E+00  -0.344781E+02   0.570854E-07   0.172473E-03  -0.615480E-06
   180   0.511481E+04   0.761090E+00   0.000000E+00  -0.337480E+02   0.567615E-07   0.170972E-03  -0.605214E-06
   181   0.513683E+04   0.751149E+00   0.000000E+00  -0.329916E+02   0.564404E-07   0.169490E-03  -0.594355E-06
   182   0.515841E+04   0.741400E+00   0.000000E+00  -0.322091E+02   0.561221E-07   0.168027E-03  -0.582937E-06
   183   0.517952E+04   0.731864E+00   0.000000E+00  -0.314007E+02   0.558066E-07   0.166583E-03  -0.570995E-06
   184   0.520015E+04   0.722578E+00   0.000000E+00  -0.305664E+02   0.554939E-07   0.165157E-03  -0.558563E-06
   185   0.522031E+04   0.713576E+00   0.000000E+00  -0.297064E+02   0.551839E-07   0.163749E-03  -0.545673E-06
   186   0.523998E+04   0.704881E+00   0.000000E+00  -0.288208E+02   0.548765E-07   0.162358E-03  -0.532361E-06
   187   0.525917E+04   0.696521E+00   0.000000E+00  -0.279099E+02   0.545718E-07   0.160984E-03  -0.518661E-06
   188   0.527785E+04   0.688535E+00   0.000000E+00  -0.269739E+02   0.542697E-07   0.159626E-03  -0.504605E-06
   189   0.529603E+04   0.680953E+00   0.000000E+00  -0.260130E+02   0.539703E-07   0.158284E-03  -0.490228E-06
   190   0.531370E+04   0.673808E+00   0.000000E+00  -0.250274E+02   0.536734E-07   0.156956E-03  -0.475565E-06
   191   0.533086E+04   0.667131E+00   0.000000E+00  -0.240175E+02   0.533790E-07   0.155644E-03  -0.460648E-06
   192   0.534749E+04   0.660955E+00   0.000000E+00  -0.229833E+02   0.530871E-07   0.154345E-03  -0.445512E-06
   193   0.536358E+04   0.655313E+00   0.000000E+00  -0.219252E+02   0.527978E-07   0.153060E-03  -0.430191E-06
   194   0.537914E+04   0.650238E+00   0.000000E+00  -0.208436E+02   0.525108E-07   0.151788E-03  -0.414719E-06
   195   0.539416E+04   0.645766E+00   0.000000E+00  -0.197386E+02   0.522264E-07   0.150528E-03  -0.399129E-06
   196   0.540864E+04   0.641931E+00   0.000000E+00  -0.186108E+02   0.519442E-07   0.149280E-03  -0.383455E-06
   197   0.542258E+04   0.638769E+00   0.000000E+00  -0.174605E+02   0.516645E-07   0.148044E-03  -0.367732E-06
   198   0.543598E+04   0.636313E+00   0.000000E+00  -0.162880E+02   0.513871E-07   0.146818E-03  -0.351994E-06
   199   0.544882E+04   0.634599E+00   0.000000E+00  -0.150936E+02   0.511120E-07   0.145604E-03  -0.336273E-06
   200   0.546112E+04   0.633661E+00   0.000000E+00  -0.138779E+02   0.508392E-07   0.144398E-03  -0.320604E-06
   201   0.547285E+04   0.633535E+00   0.000000E+00  -0.126410E+02   0.505686E-07   0.143203E-03  -0.305015E-06
   202   0.548402E+04   0.634256E+00   0.000000E+00  -0.113836E+02   0.503003E-07   0.142017E-03  -0.289512E-06
   203   0.549460E+04   0.635859E+00   0.000000E+00  -0.101058E+02   0.500342E-07   0.140840E-03  -0.274093E-06
   204   0.550459E+04   0.638379E+00   0.000000E+00  -0.880820E+01   0.497703E-07   0.139672E-03  -0.258758E-06
   205   0.551397E+04   0.641853E+00   0.000000E+00  -0.749113E+01   0.495085E-07   0.138513E-03  -0.243505E-06
   206   0.552275E+04   0.646313E+00   0.000000E+00  -0.615497E+01   0.492489E-07   0.137363E-03  -0.228335E-06
   207   0.553091E+04   0.651796E+00   0.000000E+00  -0.480007E+01   0.489915E-07   0.136223E-03  -0.213247E-06
   208   0.553845E+04   0.658338E+00   0.000000E+00  -0.342702E+01   0.487361E-07   0.135091E-03  -0.198240E-06
   209   0.554538E+04   0.665973E+00   0.000000E+00  -0.203632E+01   0.484829E-07   0.133968E-03  -0.183313E-06
   210   0.555171E+04   0.674736E+00   0.000000E+00  -0.628514E+00   0.482317E-07   0.132854E-03  -0.168465E-06
   211   0.555743E+04   0.684664E+00   0.000000E+00   0.795883E+00   0.479826E-07   0.131749E-03  -0.153697E-06
   212   0.556256E+04   0.695790E+00   0.000000E+00   0.223633E+01   0.477355E-07   0.130653E-03  -0.139007E-06
   213   0.556710E+04   0.708151E+00   0.000000E+00   0.369229E+01   0.474905E-07   0.129565E-03  -0.124394E-06
   214   0.557105E+04   0.721781E+00   0.000000E+00   0.516324E+01   0.472474E-07   0.128486E-03  -0.109858E-06
   215   0.557443E+04   0.736710E+00   0.000000E+00   0.664861E+01   0.470063E-07   0.127415E-03  -0.953976E-07
   216   0.557721E+04   0.752980E+00   0.000000E+00   0.814783E+01   0.467672E-07   0.126353E-03  -0.810130E-07
   217   0.557939E+04   0.770621E+00   0.000000E+00   0.966031E+01   0.465300E-07   0.125299E-03  -0.667032E-07
   218   0.558098E+04   0.789661E+00   0.000000E+00   0.111856E+02   0.462948E-07   0.124253E-03  -0.524673E-07
   219   0.558196E+04   0.810142E+00   0.000000E+00   0.127229E+02   0.460615E-07   0.123216E-03  -0.383049E-07
   220   0.558233E+04   0.832093E+00   0.000000E+00   0.142719E+02   0.458300E-07   0.122187E-03  -0.242150E-07
   221   0.558209E+04   0.855542E+00   0.000000E+00   0.158318E+02   0.456004E-07   0.121167E-03  -0.101971E-07
   222   0.558123E+04   0.880532E+00   0.000000E+00   0.174022E+02   0.453727E-07   0.120154E-03   0.374946E-08
   223   0.557977E+04   0.907085E+00   0.000000E+00   0.189822E+02   0.451468E-07   0.119150E-03   0.176255E-07
   224   0.557770E+04   0.935234E+00   0.000000E+00   0.205714E+02   0.449227E-07   0.118153E-03   0.314316E-07
   225   0.557502E+04   0.965003E+00   0.000000E+00   0.221691E+02   0.447004E-07   0.117165E-03   0.451685E-07
   226   0.557173E+04   0.996432E+00   0.000000E+00   0.237746E+02   0.444799E-07   0.116184E-03   0.588369E-07
   227   0.556784E+04   0.102955E+01   0.000000E+00   0.253873E+02   0.442611E-07   0.115211E-03   0.724375E-07
   228   0.556334E+04   0.106438E+01   0.000000E+00   0.270065E+02   0.440441E-07   0.114246E-03   0.859709E-07
   229   0.555825E+04   0.110096E+01   0.000000E+00   0.286317E+02   0.438287E-07   0.113289E-03   0.994379E-07
   230   0.555255E+04   0.113931E+01   0.000000E+00   0.302620E+02   0.436151E-07   0.112339E-03   0.112839E-06
