#    L    TT             EE             BB             TE             PP             TP             EP          
   100   0.263629E+04   0.732862E+00   0.000000E+00  -0.225532E+02   0.938642E-07   0.386113E-03  -0.897386E-06
   101   0.266698E+04   0.746700E+00   0.000000E+00  -0.231878E+02   0.932389E-07   0.381410E-03  -0.862854E-06
   102   0.269788E+04   0.760378E+00   0.000000E+00  -0.238228E+02   0.926175E-07   0.376804E-03  -0.825834E-06
   103   0.272897E+04   0.773897E+00   0.000000E+00  -0.244574E+02   0.920002E-07   0.372290E-03  -0.787299E-06
   104   0.276025E+04   0.787228E+00   0.000000E+00  -0.250912E+02   0.913870E-07   0.367864E-03  -0.748218E-06
   105   0.279172E+04   0.800365E+00   0.000000E+00  -0.257238E+02   0.907780E-07   0.363522E-03  -0.709561E-06
   106   0.282336E+04   0.813294E+00   0.000000E+00  -0.263543E+02   0.901730E-07   0.359258E-03  -0.672299E-06
   107   0.285518E+04   0.826009E+00   0.000000E+00  -0.269824E+02   0.895724E-07   0.355068E-03  -0.637399E-06
   108   0.288715E+04   0.838488E+00   0.000000E+00  -0.276076E+02   0.889760E-07   0.350947E-03  -0.605830E-06
   109   0.291928E+04   0.850726E+00   0.000000E+00  -0.282290E+02   0.883839E-07   0.346891E-03  -0.578561E-06
   110   0.295156E+04   0.862700E+00   0.000000E+00  -0.288464E+02   0.877963E-07   0.342895E-03  -0.556559E-06
   111   0.298399E+04   0.874404E+00   0.000000E+00  -0.294593E+02   0.872130E-07   0.338956E-03  -0.540553E-06
   112   0.301655E+04   0.885832E+00   0.000000E+00  -0.300668E+02   0.866342E-07   0.335072E-03  -0.530322E-06
   113   0.304925E+04   0.896961E+00   0.000000E+00  -0.306686E+02   0.860598E-07   0.331243E-03  -0.525407E-06
   114   0.308208E+04   0.907778E+00   0.000000E+00  -0.312641E+02   0.854899E-07   0.327469E-03  -0.525349E-06
   115   0.311502E+04   0.918282E+00   0.000000E+00  -0.318528E+02   0.849243E-07   0.323750E-03  -0.529690E-06
   116   0.314808E+04   0.928460E+00   0.000000E+00  -0.324342E+02   0.843631E-07   0.320087E-03  -0.537970E-06
   117   0.318124E+04   0.938290E+00   0.000000E+00  -0.330077E+02   0.838062E-07   0.316478E-03  -0.549733E-06
   118   0.321450E+04   0.947772E+00   0.000000E+00  -0.335727E+02   0.832538E-07   0.312924E-03  -0.564520E-06
   119   0.324786E+04   0.956892E+00   0.000000E+00  -0.341289E+02   0.827056E-07   0.309424E-03  -0.581874E-06
   120   0.328130E+04   0.965643E+00   0.000000E+00  -0.346755E+02   0.821619E-07   0.305979E-03  -0.601337E-06
   121   0.331481E+04   0.974011E+00   0.000000E+00  -0.352122E+02   0.816224E-07   0.302589E-03  -0.622453E-06
   122   0.334839E+04   0.981988E+00   0.000000E+00  -0.357383E+02   0.810873E-07   0.299253E-03  -0.644764E-06
   123   0.338203E+04   0.989568E+00   0.000000E+00  -0.362534E+02   0.805565E-07   0.295971E-03  -0.667813E-06
   124   0.341572E+04   0.996737E+00   0.000000E+00  -0.367569E+02   0.800300E-07   0.292743E-03  -0.691145E-06
   125   0.344945E+04   0.100349E+01   0.000000E+00  -0.372484E+02   0.795079E-07   0.289569E-03  -0.714302E-06
   126   0.348321E+04   0.100983E+01   0.000000E+00  -0.377273E+02   0.789900E-07   0.286450E-03  -0.736829E-06
   127   0.351700E+04   0.101573E+01   0.000000E+00  -0.381930E+02   0.784764E-07   0.283384E-03  -0.758269E-06
   128   0.355080E+04   0.102120E+01   0.000000E+00  -0.386453E+02   0.779671E-07   0.280372E-03  -0.778167E-06
   129   0.358462E+04   0.102623E+01   0.000000E+00  -0.390834E+02   0.774621E-07   0.277414E-03  -0.796066E-06
   130   0.361843E+04   0.103081E+01   0.000000E+00  -0.395070E+02   0.769613E-07   0.274510E-03  -0.811513E-06
   131   0.365223E+04   0.103493E+01   0.000000E+00  -0.399155E+02   0.764648E-07   0.271659E-03  -0.824156E-06
   132   0.368602E+04   0.103861E+01   0.000000E+00  -0.403085E+02   0.759725E-07   0.268860E-03  -0.834075E-06
   133   0.371978E+04   0.104181E+01   0.000000E+00  -0.406855E+02   0.754845E-07   0.266111E-03  -0.841453E-06
   134   0.375350E+04   0.104457E+01   0.000000E+00  -0.410459E+02   0.750006E-07   0.263410E-03  -0.846475E-06
   135   0.378719E+04   0.104685E+01   0.000000E+00  -0.413896E+02   0.745208E-07   0.260757E-03  -0.849324E-06
   136   0.382083E+04   0.104867E+01   0.000000E+00  -0.417158E+02   0.740451E-07   0.258149E-03  -0.850184E-06
   137   0.385442E+04   0.105001E+01   0.000000E+00  -0.420241E+02   0.735735E-07   0.255585E-03  -0.849241E-06
   138   0.388795E+04   0.105089E+01   0.000000E+00  -0.423142E+02   0.731060E-07   0.253062E-03  -0.846676E-06
   139   0.392140E+04   0.105130E+01   0.000000E+00  -0.425857E+02   0.726424E-07   0.250580E-03  -0.842674E-06
   140   0.395479E+04   0.105124E+01   0.000000E+00  -0.428381E+02   0.721828E-07   0.248137E-03  -0.837419E-06
   141   0.398808E+04   0.105073E+01   0.000000E+00  -0.430712E+02   0.717272E-07   0.245731E-03  -0.831094E-06
   142   0.402128E+04   0.104975E+01   0.000000E+00  -0.432843E+02   0.712754E-07   0.243360E-03  -0.823883E-06
   143   0.405439E+04   0.104830E+01   0.000000E+00  -0.434772E+02   0.708276E-07   0.241023E-03  -0.815970E-06
   144   0.408739E+04   0.104641E+01   0.000000E+00  -0.436496E+02   0.703835E-07   0.238718E-03  -0.807537E-06
   145   0.412027E+04   0.104405E+01   0.000000E+00  -0.438009E+02   0.699433E-07   0.236444E-03  -0.798768E-06
   146   0.415301E+04   0.104124E+01   0.000000E+00  -0.439309E+02   0.695069E-07   0.234198E-03  -0.789847E-06
   147   0.418560E+04   0.103801E+01   0.000000E+00  -0.440390E+02   0.690742E-07   0.231980E-03  -0.780956E-06
   148   0.421803E+04   0.103433E+01   0.000000E+00  -0.441250E+02   0.686453E-07   0.229788E-03  -0.772280E-06
   149   0.425028E+04   0.103022E+01   0.000000E+00  -0.441885E+02   0.682200E-07   0.227619E-03  -0.764000E-06
   150   0.428234E+04   0.102570E+01   0.000000E+00  -0.442290E+02   0.677985E-07   0.225473E-03  -0.756302E-06
   151   0.431419E+04   0.102076E+01   0.000000E+00  -0.442463E+02   0.673805E-07   0.223347E-03  -0.749326E-06
   152   0.434584E+04   0.101542E+01   0.000000E+00  -0.442400E+02   0.669662E-07   0.221243E-03  -0.743052E-06
   153   0.437727E+04   0.100968E+01   0.000000E+00  -0.442100E+02   0.665554E-07   0.219159E-03  -0.737421E-06
   154   0.440848E+04   0.100357E+01   0.000000E+00  -0.441560E+02   0.661482E-07   0.217096E-03  -0.732372E-06
   155   0.443947E+04   0.997083E+00   0.000000E+00  -0.440777E+02   0.657445E-07   0.215054E-03  -0.727843E-06
   156   0.447024E+04   0.990239E+00   0.000000E+00  -0.439749E+02   0.653443E-07   0.213033E-03  -0.723775E-06
   157   0.450076E+04   0.983039E+00   0.000000E+00  -0.438474E+02   0.649476E-07   0.211033E-03  -0.720107E-06
   158   0.453105E+04   0.975512E+00   0.000000E+00  -0.436950E+02   0.645543E-07   0.209055E-03  -0.716779E-06
   159   0.456109E+04   0.967657E+00   0.000000E+00  -0.435174E+02   0.641644E-07   0.207097E-03  -0.713729E-06
   160   0.459088E+04   0.959498E+00   0.000000E+00  -0.433146E+02   0.637780E-07   0.205161E-03  -0.710898E-06
   161   0.462039E+04   0.951047E+00   0.000000E+00  -0.430861E+02   0.633949E-07   0.203246E-03  -0.708225E-06
   162   0.464961E+04   0.942320E+00   0.000000E+00  -0.428320E+02   0.630151E-07   0.201353E-03  -0.705649E-06
   163   0.467853E+04   0.933346E+00   0.000000E+00  -0.425520E+02   0.626387E-07   0.199481E-03  -0.703110E-06
   164   0.470714E+04   0.924124E+00   0.000000E+00  -0.422459E+02   0.622655E-07   0.197631E-03  -0.700548E-06
   165   0.473544E+04   0.914676E+00   0.000000E+00  -0.419136E+02   0.618956E-07   0.195802E-03  -0.697902E-06
   166   0.476340E+04   0.905024E+00   0.000000E+00  -0.415549E+02   0.615290E-07   0.193995E-03  -0.695113E-06
   167   0.479102E+04   0.895189E+00   0.000000E+00  -0.411698E+02   0.611655E-07   0.192210E-03  -0.692118E-06
   168   0.481830E+04   0.885194E+00   0.000000E+00  -0.407582E+02   0.608053E-07   0.190447E-03  -0.688859E-06
   169   0.484522E+04   0.875060E+00   0.000000E+00  -0.403202E+02   0.604482E-07   0.188706E-03  -0.685274E-06
   170   0.487178E+04   0.864802E+00   0.000000E+00  -0.398555E+02   0.600942E-07   0.186986E-03  -0.681304E-06
   171   0.489796E+04   0.854449E+00   0.000000E+00  -0.393643E+02   0.597434E-07   0.185289E-03  -0.676888E-06
   172   0.492378E+04   0.844023E+00   0.000000E+00  -0.388463E+02   0.593956E-07   0.183614E-03  -0.671966E-06
   173   0.494920E+04   0.833546E+00   0.000000E+00  -0.383017E+02   0.590509E-07   0.181961E-03  -0.666477E-06
   174   0.497422E+04   0.823039E+00   0.000000E+00  -0.377304E+02   0.587092E-07   0.180331E-03  -0.660361E-06
   175   0.499885E+04   0.812538E+00   0.000000E+00  -0.371325E+02   0.583706E-07   0.178722E-03  -0.653558E-06
   176   0.502306E+04   0.802060E+00   0.000000E+00  -0.365081E+02   0.580349E-07   0.177137E-03  -0.646023E-06
   177   0.504684E+04   0.791639E+00   0.000000E+00  -0.358570E+02   0.577022E-07   0.175572E-03  -0.637774E-06
