#    L    TT             EE             BB             TE             PP             TP             EP          
   187   0.525980E+04   0.696423E+00   0.000000E+00  -0.279092E+02   0.545717E-07   0.161020E-03  -0.519144E-06
   188   0.527848E+04   0.688437E+00   0.000000E+00  -0.269731E+02   0.542696E-07   0.159662E-03  -0.505060E-06
   189   0.529665E+04   0.680856E+00   0.000000E+00  -0.260120E+02   0.539702E-07   0.158320E-03  -0.490654E-06
   190   0.531432E+04   0.673712E+00   0.000000E+00  -0.250263E+02   0.536733E-07   0.156994E-03  -0.475959E-06
   191   0.533146E+04   0.667035E+00   0.000000E+00  -0.240162E+02   0.533789E-07   0.155681E-03  -0.461011E-06
   192   0.534808E+04   0.660861E+00   0.000000E+00  -0.229819E+02   0.530871E-07   0.154383E-03  -0.445843E-06
   193   0.536416E+04   0.655219E+00   0.000000E+00  -0.219237E+02   0.527977E-07   0.153098E-03  -0.430490E-06
   194   0.537972E+04   0.650146E+00   0.000000E+00  -0.208419E+02   0.525108E-07   0.151826E-03  -0.414984E-06
   195   0.539473E+04   0.645676E+00   0.000000E+00  -0.197368E+02   0.522264E-07   0.150567E-03  -0.399362E-06
   196   0.540921E+04   0.641842E+00   0.000000E+00  -0.186089E+02   0.519443E-07   0.149320E-03  -0.383656E-06
   197   0.542314E+04   0.638681E+00   0.000000E+00  -0.174584E+02   0.516646E-07   0.148084E-03  -0.367900E-06
   198   0.543653E+04   0.636227E+00   0.000000E+00  -0.162858E+02   0.513872E-07   0.146858E-03  -0.352129E-06
   199   0.544936E+04   0.634515E+00   0.000000E+00  -0.150913E+02   0.511121E-07   0.145644E-03  -0.336377E-06
   200   0.546165E+04   0.633579E+00   0.000000E+00  -0.138755E+02   0.508393E-07   0.144439E-03  -0.320678E-06
   201   0.547337E+04   0.633455E+00   0.000000E+00  -0.126385E+02   0.505688E-07   0.143243E-03  -0.305060E-06
   202   0.548453E+04   0.634178E+00   0.000000E+00  -0.113810E+02   0.503004E-07   0.142057E-03  -0.289528E-06
   203   0.549510E+04   0.635784E+00   0.000000E+00  -0.101031E+02   0.500343E-07   0.140880E-03  -0.274081E-06
   204   0.550509E+04   0.638307E+00   0.000000E+00  -0.880536E+01   0.497704E-07   0.139712E-03  -0.258719E-06
   205   0.551446E+04   0.641783E+00   0.000000E+00  -0.748820E+01   0.495087E-07   0.138554E-03  -0.243441E-06
   206   0.552323E+04   0.646246E+00   0.000000E+00  -0.615195E+01   0.492491E-07   0.137404E-03  -0.228246E-06
   207   0.553139E+04   0.651732E+00   0.000000E+00  -0.479696E+01   0.489916E-07   0.136263E-03  -0.213134E-06
   208   0.553891E+04   0.658277E+00   0.000000E+00  -0.342383E+01   0.487363E-07   0.135132E-03  -0.198104E-06
   209   0.554584E+04   0.665915E+00   0.000000E+00  -0.203305E+01   0.484831E-07   0.134009E-03  -0.183155E-06
   210   0.555215E+04   0.674682E+00   0.000000E+00  -0.625168E+00   0.482319E-07   0.132894E-03  -0.168286E-06
   211   0.555787E+04   0.684613E+00   0.000000E+00   0.799300E+00   0.479828E-07   0.131789E-03  -0.153498E-06
   212   0.556299E+04   0.695742E+00   0.000000E+00   0.223981E+01   0.477357E-07   0.130692E-03  -0.138788E-06
   213   0.556752E+04   0.708106E+00   0.000000E+00   0.369584E+01   0.474907E-07   0.129604E-03  -0.124156E-06
   214   0.557147E+04   0.721740E+00   0.000000E+00   0.516685E+01   0.472476E-07   0.128525E-03  -0.109602E-06
   215   0.557484E+04   0.736673E+00   0.000000E+00   0.665228E+01   0.470065E-07   0.127454E-03  -0.951255E-07
   216   0.557761E+04   0.752947E+00   0.000000E+00   0.815155E+01   0.467674E-07   0.126391E-03  -0.807248E-07
   217   0.557979E+04   0.770592E+00   0.000000E+00   0.966408E+01   0.465302E-07   0.125337E-03  -0.663996E-07
   218   0.558136E+04   0.789635E+00   0.000000E+00   0.111894E+02   0.462950E-07   0.124291E-03  -0.521492E-07
   219   0.558234E+04   0.810120E+00   0.000000E+00   0.127268E+02   0.460617E-07   0.123254E-03  -0.379729E-07
   220   0.558270E+04   0.832075E+00   0.000000E+00   0.142758E+02   0.458302E-07   0.122225E-03  -0.238700E-07
   221   0.558246E+04   0.855528E+00   0.000000E+00   0.158357E+02   0.456006E-07   0.121204E-03  -0.983987E-08
   222   0.558159E+04   0.880523E+00   0.000000E+00   0.174061E+02   0.453729E-07   0.120191E-03   0.411831E-08
   223   0.558012E+04   0.907079E+00   0.000000E+00   0.189862E+02   0.451470E-07   0.119186E-03   0.180052E-07
   224   0.557804E+04   0.935233E+00   0.000000E+00   0.205755E+02   0.449229E-07   0.118189E-03   0.318215E-07
   225   0.557536E+04   0.965005E+00   0.000000E+00   0.221731E+02   0.447006E-07   0.117200E-03   0.455679E-07
   226   0.557206E+04   0.996439E+00   0.000000E+00   0.237787E+02   0.444801E-07   0.116219E-03   0.592451E-07
   227   0.556816E+04   0.102956E+01   0.000000E+00   0.253914E+02   0.442613E-07   0.115245E-03   0.728537E-07
   228   0.556366E+04   0.106440E+01   0.000000E+00   0.270106E+02   0.440442E-07   0.114280E-03   0.863946E-07
   229   0.555855E+04   0.110098E+01   0.000000E+00   0.286358E+02   0.438289E-07   0.113322E-03   0.998684E-07
   230   0.555285E+04   0.113933E+01   0.000000E+00   0.302661E+02   0.436153E-07   0.112372E-03   0.113276E-06
